user_id,name,age,location,preferences,attended_events,social_connections,exploration_score
U0017,Tamara Robinson,46,"Paris, France","['Literature', 'Tech']","['E0016', 'E0021', 'E0021', 'E0085', 'E0089', 'E0104', 'E0105', 'E0105', 'E0105', 'E0140', 'E0184', 'E0206', 'E0236', 'E0236', 'E0246', 'E0246', 'E0285', 'E0298', 'E0298', 'E0303', 'E0303', 'E0304', 'E0304', 'E0310', 'E0310', 'E0311', 'E0311', 'E0311', 'E0311', 'E0314', 'E0353', 'E0447', 'E0447', 'E0453', 'E0453', 'E0490']","['U5819', 'U0724', 'U1721', 'U4841', 'U0065', 'U1203', 'U6223', 'U0032', 'U4609', 'U1792', 'U0427', 'U1087']",0.96
U0018,Aaron Hess,49,"Tokyo, Japan",['Theater'],"['E0008', 'E0008', 'E0008', 'E0039', 'E0047', 'E0049', 'E0077', 'E0091', 'E0103', 'E0130', 'E0130', 'E0163', 'E0169', 'E0169', 'E0199', 'E0199', 'E0199', 'E0230', 'E0230', 'E0271', 'E0286', 'E0290', 'E0291', 'E0291', 'E0291', 'E0356', 'E0356', 'E0432', 'E0455']","['U5611', 'U6444', 'U3366', 'U0742', 'U2150', 'U1281', 'U1837', 'U0293', 'U5124', 'U3565', 'U6703', 'U0466', 'U0878', 'U5658']",0.59
U0019,Aaron Anderson III,36,"Madrid, Spain","['Tech', 'Comedy', 'Food']","['E0080', 'E0206', 'E0206', 'E0206', 'E0247', 'E0254', 'E0286', 'E0306', 'E0306', 'E0306', 'E0306', 'E0306', 'E0309', 'E0322', 'E0322', 'E0332', 'E0332', 'E0332', 'E0342', 'E0342', 'E0342', 'E0355', 'E0355', 'E0385', 'E0385', 'E0400', 'E0400', 'E0411', 'E0411', 'E0470', 'E0483', 'E0483', 'E0484']","['U4991', 'U0815', 'U0968', 'U5403', 'U3254', 'U4388', 'U1670', 'U1560', 'U2883', 'U5674', 'U1034', 'U6135', 'U1549', 'U0890', 'U4155', 'U2482', 'U6604']",0.15
U0020,Steven Jones,25,"Toronto, Canada","['Theater', 'Film', 'Comedy']","['E0025', 'E0041', 'E0041', 'E0107', 'E0107', 'E0107', 'E0157', 'E0197', 'E0260', 'E0388', 'E0405', 'E0433', 'E0433']","['U2141', 'U0778', 'U1337', 'U1906', 'U5152', 'U1195', 'U2033', 'U0529', 'U6403', 'U1061', 'U1467', 'U0224', 'U0686', 'U4793', 'U1163', 'U2706', 'U4572', 'U5431', 'U4103']",0.94
U0021,Kathleen Pearson,50,"Toronto, Canada",['Comedy'],"['E0027', 'E0027', 'E0066', 'E0066', 'E0090', 'E0090', 'E0090', 'E0107', 'E0107', 'E0108', 'E0157', 'E0157', 'E0179', 'E0179', 'E0209', 'E0270', 'E0270', 'E0270', 'E0302', 'E0375', 'E0375', 'E0377', 'E0383', 'E0383', 'E0383', 'E0388', 'E0388', 'E0433', 'E0480', 'E0480', 'E0480', 'E0493', 'E0493', 'E0493', 'E0493', 'E0497', 'E0497', 'E0497', 'E0497', 'E0497']","['U3538', 'U2400', 'U2938', 'U2748', 'U6079', 'U4501', 'U2574', 'U3543', 'U2895', 'U4530', 'U3889', 'U5900', 'U6959', 'U6445']",0.56
U0022,Anthony Barnes,29,"Paris, France",['Comedy'],"['E0089', 'E0089', 'E0127', 'E0127', 'E0131', 'E0172', 'E0288', 'E0288', 'E0288', 'E0288', 'E0288', 'E0288', 'E0301', 'E0314', 'E0353', 'E0392', 'E0392', 'E0453', 'E0453', 'E0488', 'E0488']","['U5834', 'U4445', 'U2751', 'U5310', 'U5748', 'U2267', 'U3795', 'U6396']",0.83
U0023,Tammy Downs,31,"Berlin, Germany",['Theater'],"['E0056', 'E0056', 'E0084', 'E0084', 'E0142', 'E0142', 'E0150', 'E0150', 'E0184', 'E0192', 'E0192', 'E0192', 'E0192', 'E0193', 'E0193', 'E0198', 'E0198', 'E0198', 'E0438', 'E0438', 'E0455', 'E0461', 'E0461', 'E0461', 'E0464', 'E0464', 'E0470', 'E0470', 'E0472']","['U1344', 'U4536', 'U0525', 'U5488', 'U1374', 'U1648', 'U6894', 'U4781', 'U5569', 'U3748', 'U3531', 'U4661', 'U2313', 'U2377', 'U1129', 'U4754', 'U6050', 'U0260']",0.88
U0024,Peter Burton,54,"Dubai, United Arab Emirates",['Theater'],"['E0073', 'E0073', 'E0091', 'E0091', 'E0141', 'E0141', 'E0197', 'E0237', 'E0249', 'E0283', 'E0347', 'E0347', 'E0362', 'E0401', 'E0401', 'E0431', 'E0431']","['U6875', 'U6985', 'U6289', 'U3614', 'U2588', 'U4281', 'U5887', 'U4917', 'U0827', 'U3134', 'U3318', 'U5790']",0.66
U0025,Brandi Atkinson,47,"Dubai, United Arab Emirates",['Music'],"['E0070', 'E0077', 'E0077', 'E0112', 'E0201', 'E0237', 'E0283', 'E0283', 'E0292', 'E0328', 'E0328', 'E0328', 'E0328', 'E0339', 'E0339', 'E0347', 'E0365', 'E0369', 'E0386', 'E0386', 'E0427', 'E0427', 'E0427', 'E0427', 'E0492']","['U2671', 'U3711', 'U5254', 'U4623', 'U2542', 'U4550', 'U0387', 'U4689', 'U4810', 'U0889', 'U2119', 'U4358', 'U5777', 'U3081']",0.13
U0026,Michael Harrell,63,"Shanghai, China","['Literature', 'Tech']","['E0076', 'E0095', 'E0128', 'E0143', 'E0148', 'E0268', 'E0268', 'E0283', 'E0317', 'E0336', 'E0375', 'E0375', 'E0387', 'E0394', 'E0394', 'E0394', 'E0445']","['U6478', 'U2016', 'U0738', 'U6270', 'U4716', 'U4470', 'U6198', 'U1061', 'U5314', 'U6302', 'U1987', 'U5558', 'U5550', 'U5365', 'U3193', 'U2619', 'U0769', 'U0746', 'U5785', 'U0158']",0.79
U0027,Rhonda Rogers,39,"Shanghai, China","['Art', 'Food']","['E0020', 'E0020', 'E0020', 'E0022', 'E0058', 'E0058', 'E0095', 'E0109', 'E0109', 'E0224', 'E0260', 'E0336', 'E0336', 'E0369', 'E0394', 'E0401', 'E0401']","['U2009', 'U6579', 'U0709', 'U1505', 'U3372', 'U5284', 'U2286', 'U4852', 'U2779', 'U5472', 'U5747', 'U1176', 'U3653', 'U0435', 'U5870']",0.27
U0028,Russell Howard,41,"Madrid, Spain","['Comedy', 'Tech', 'Art']","['E0015', 'E0015', 'E0015', 'E0021', 'E0021', 'E0035', 'E0035', 'E0035', 'E0097', 'E0125', 'E0125', 'E0143', 'E0214', 'E0214', 'E0218', 'E0299', 'E0299', 'E0299', 'E0315', 'E0315', 'E0315', 'E0322', 'E0332', 'E0355', 'E0355', 'E0355', 'E0355', 'E0355', 'E0355', 'E0385', 'E0409', 'E0411', 'E0483', 'E0483', 'E0483']","['U1094', 'U1586', 'U5377', 'U4259', 'U6525', 'U2168', 'U5952', 'U6170', 'U1121', 'U0098', 'U1834', 'U1405', 'U2619', 'U1107', 'U6480', 'U5881', 'U5347', 'U5759', 'U3002']",0.52
U0029,Angela Harris,34,"Berlin, Germany",['Music'],"['E0018', 'E0018', 'E0018', 'E0018', 'E0077', 'E0079', 'E0079', 'E0103', 'E0122', 'E0142', 'E0142', 'E0142', 'E0156', 'E0182', 'E0182', 'E0182', 'E0182', 'E0192', 'E0214', 'E0221', 'E0221', 'E0221', 'E0307', 'E0376', 'E0397', 'E0400', 'E0400', 'E0401', 'E0455', 'E0470', 'E0470']","['U4020', 'U6286', 'U3138', 'U4589', 'U4352', 'U1218', 'U4983', 'U6734', 'U6626', 'U2401', 'U2752', 'U1384', 'U4109', 'U1652', 'U1719']",0.16
U0030,Alexandria Kennedy,33,"Mumbai, India",['Literature'],"['E0043', 'E0048', 'E0137', 'E0137', 'E0137', 'E0137', 'E0188', 'E0188', 'E0232', 'E0232', 'E0246', 'E0246', 'E0297', 'E0303', 'E0359', 'E0359', 'E0359', 'E0359', 'E0359', 'E0371', 'E0371', 'E0371', 'E0371', 'E0378', 'E0384', 'E0409', 'E0430', 'E0430', 'E0437', 'E0437', 'E0452', 'E0452']","['U0262', 'U4934', 'U0333', 'U3924', 'U3117', 'U1506', 'U2884', 'U6994', 'U6689', 'U1243', 'U3610', 'U5480', 'U6102', 'U0597', 'U3097', 'U0251', 'U5850', 'U3108', 'U6678', 'U1494']",0.96
U0031,Michael Olson,27,"Paris, France","['Literature', 'Theater']","['E0071', 'E0088', 'E0089', 'E0089', 'E0172', 'E0172', 'E0206', 'E0206', 'E0246', 'E0246', 'E0246', 'E0253', 'E0288', 'E0288', 'E0288', 'E0304', 'E0353', 'E0353']","['U1514', 'U1653', 'U3545', 'U3420', 'U4334', 'U5046', 'U1193', 'U5536', 'U6153', 'U6772', 'U4224', 'U5777', 'U4884', 'U0629']",0.28
U0032,Michelle Padilla,31,"Bangkok, Thailand",['Sports'],"['E0042', 'E0073', 'E0073', 'E0073', 'E0073', 'E0073', 'E0073', 'E0121', 'E0121', 'E0185', 'E0212', 'E0212', 'E0225', 'E0261', 'E0261', 'E0261', 'E0274', 'E0274', 'E0274', 'E0274', 'E0274', 'E0274', 'E0294', 'E0302', 'E0338', 'E0338', 'E0414', 'E0414', 'E0418', 'E0418', 'E0423', 'E0423', 'E0434', 'E0438', 'E0463', 'E0463', 'E0471', 'E0471', 'E0471']","['U2499', 'U2289', 'U3862', 'U4530', 'U3727', 'U2024', 'U1368', 'U4368', 'U6276', 'U4388', 'U0350', 'U2266', 'U3678', 'U3213', 'U6906', 'U5967']",0.0
U0033,Megan Golden,43,"Istanbul, Turkey","['Theater', 'Food']","['E0004', 'E0004', 'E0007', 'E0016', 'E0016', 'E0016', 'E0016', 'E0075', 'E0075', 'E0103', 'E0111', 'E0111', 'E0133', 'E0140', 'E0140', 'E0140', 'E0140', 'E0146', 'E0146', 'E0146', 'E0175', 'E0175', 'E0175', 'E0194', 'E0258', 'E0258', 'E0305', 'E0366', 'E0374', 'E0374', 'E0374', 'E0374', 'E0417', 'E0419', 'E0476', 'E0479', 'E0479', 'E0479', 'E0489', 'E0489', 'E0490']","['U2058', 'U4626', 'U0702', 'U3499', 'U0029', 'U4060', 'U4428', 'U3818', 'U1506', 'U1244', 'U0227', 'U2628', 'U2100', 'U5083', 'U2640', 'U5607', 'U6964', 'U3017', 'U6629', 'U0448']",0.0
U0034,Jason Frank,21,"London, United Kingdom",['Sports'],"['E0019', 'E0019', 'E0036', 'E0063', 'E0074', 'E0125', 'E0136', 'E0136', 'E0168', 'E0168', 'E0309', 'E0323', 'E0323', 'E0323', 'E0323', 'E0323', 'E0341', 'E0349', 'E0349']","['U3313', 'U1676', 'U5346', 'U6077', 'U3507', 'U4993', 'U6346', 'U4751']",0.3
U0035,Steven Chen,61,"Singapore, Singapore","['Art', 'Tech']","['E0010', 'E0010', 'E0186', 'E0193', 'E0263', 'E0270', 'E0270', 'E0394', 'E0394', 'E0394', 'E0496', 'E0496']","['U1481', 'U6121', 'U6689', 'U6415', 'U3086', 'U3419', 'U0481', 'U5694', 'U0025', 'U3409', 'U1227', 'U2811', 'U4401']",0.61
U0036,Alyssa Smith,34,"São Paulo, Brazil","['Comedy', 'Film', 'Workshops']","['E0010', 'E0031', 'E0099', 'E0099', 'E0114', 'E0114', 'E0116', 'E0130', 'E0135', 'E0135', 'E0135', 'E0200', 'E0200', 'E0200', 'E0200', 'E0201', 'E0201', 'E0273', 'E0292', 'E0430', 'E0430', 'E0456']","['U6609', 'U4228', 'U4697', 'U1413', 'U3969', 'U6257', 'U1985', 'U6076', 'U6054', 'U2177', 'U0811', 'U3798', 'U5962', 'U1631']",0.25
U0037,Francis Trevino,39,"Singapore, Singapore","['Art', 'Film']","['E0010', 'E0010', 'E0010', 'E0035', 'E0035', 'E0078', 'E0186', 'E0217', 'E0217', 'E0285', 'E0285', 'E0337', 'E0343', 'E0396', 'E0408', 'E0408', 'E0408', 'E0442', 'E0496']","['U1571', 'U6170', 'U3928', 'U6993', 'U4128', 'U5199', 'U1894', 'U6009', 'U5552']",0.17
U0038,Brenda Ford,44,"Moscow, Russia",['Literature'],"['E0031', 'E0054', 'E0057', 'E0110', 'E0110', 'E0110', 'E0110', 'E0120', 'E0176', 'E0176', 'E0232', 'E0275', 'E0275', 'E0329', 'E0329', 'E0329', 'E0331', 'E0331', 'E0331', 'E0331', 'E0344', 'E0344', 'E0344', 'E0344', 'E0344', 'E0344', 'E0391', 'E0396', 'E0402', 'E0457']","['U4246', 'U3172', 'U6723', 'U6515', 'U3652', 'U3707', 'U6935', 'U1456', 'U3766', 'U4795', 'U1068', 'U0893', 'U0778', 'U6951', 'U0641', 'U3797', 'U4619']",0.2
U0039,David Trevino,59,"Mexico City, Mexico","['Sports', 'Literature']","['E0025', 'E0037', 'E0059', 'E0059', 'E0061', 'E0070', 'E0080', 'E0093', 'E0093', 'E0093', 'E0093', 'E0093', 'E0124', 'E0124', 'E0124', 'E0126', 'E0126', 'E0126', 'E0126', 'E0135', 'E0135', 'E0215', 'E0215', 'E0221', 'E0264', 'E0264', 'E0271', 'E0287', 'E0415', 'E0415', 'E0415', 'E0458', 'E0468', 'E0468', 'E0468', 'E0478', 'E0478', 'E0484', 'E0484', 'E0499']","['U1552', 'U3324', 'U3426', 'U3298', 'U4902', 'U1242', 'U1692', 'U6599', 'U1698', 'U4447', 'U2865']",0.24
U0040,Blake Larson,51,"Seoul, South Korea","['Comedy', 'Literature']","['E0016', 'E0016', 'E0173', 'E0173', 'E0194', 'E0194', 'E0197', 'E0226', 'E0234', 'E0234', 'E0234', 'E0234', 'E0234', 'E0234', 'E0370', 'E0412', 'E0412', 'E0416', 'E0454', 'E0454', 'E0468', 'E0468', 'E0476']","['U5319', 'U6497', 'U3767', 'U6666', 'U6848']",0.59
U0041,Timothy Chavez,26,"Paris, France",['Theater'],"['E0026', 'E0026', 'E0046', 'E0046', 'E0104', 'E0104', 'E0104', 'E0172', 'E0172', 'E0172', 'E0221', 'E0252', 'E0267', 'E0270', 'E0270', 'E0280', 'E0288', 'E0288', 'E0298', 'E0304', 'E0304', 'E0304', 'E0304', 'E0304', 'E0304', 'E0353', 'E0357', 'E0357', 'E0357', 'E0357', 'E0357', 'E0392', 'E0392', 'E0454', 'E0454', 'E0462', 'E0462', 'E0483', 'E0497', 'E0497']","['U5942', 'U3931', 'U6520', 'U1620', 'U0002', 'U2149', 'U1344', 'U6354', 'U4958', 'U0971', 'U1286', 'U3540', 'U0600', 'U4001']",0.84
U0042,Lauren Lewis,31,"Paris, France","['Film', 'Tech', 'Theater']","['E0017', 'E0017', 'E0017', 'E0021', 'E0071', 'E0071', 'E0071', 'E0073', 'E0085', 'E0104', 'E0104', 'E0104', 'E0104', 'E0105', 'E0105', 'E0107', 'E0107', 'E0114', 'E0114', 'E0115', 'E0115', 'E0280', 'E0280', 'E0288', 'E0304', 'E0304', 'E0304', 'E0304', 'E0337', 'E0353', 'E0353', 'E0353', 'E0353', 'E0368', 'E0388', 'E0425', 'E0425', 'E0437', 'E0487', 'E0487', 'E0488']","['U3022', 'U2999', 'U4675', 'U2179', 'U4940', 'U6358', 'U1246', 'U1568', 'U4144', 'U1387', 'U6771', 'U1291', 'U4631']",0.85
U0043,John Young,37,"Madrid, Spain",['Music'],"['E0040', 'E0070', 'E0127', 'E0230', 'E0247', 'E0247', 'E0299', 'E0299', 'E0299', 'E0301', 'E0301', 'E0306', 'E0306', 'E0306', 'E0306', 'E0313', 'E0317', 'E0317', 'E0327', 'E0327', 'E0342', 'E0342', 'E0342', 'E0342', 'E0355', 'E0355', 'E0355', 'E0355', 'E0355', 'E0385', 'E0399', 'E0399', 'E0399', 'E0399', 'E0400', 'E0400', 'E0400', 'E0469']","['U2124', 'U5009', 'U2245', 'U4907', 'U5286', 'U6132', 'U4154', 'U6889', 'U5865', 'U5603', 'U5368', 'U2376']",0.38
U0044,Joseph Owens DVM,37,"Paris, France",['Theater'],"['E0019', 'E0097', 'E0105', 'E0105', 'E0105', 'E0105', 'E0165', 'E0172', 'E0172', 'E0172', 'E0252', 'E0252', 'E0255', 'E0298', 'E0314', 'E0314', 'E0314', 'E0314', 'E0314', 'E0314', 'E0353', 'E0392', 'E0392', 'E0434', 'E0476']","['U2465', 'U3189', 'U4461', 'U0311', 'U3246', 'U1376', 'U6418', 'U6740', 'U2977', 'U3794', 'U6593', 'U3827', 'U0957', 'U2926', 'U4925', 'U0681', 'U1830', 'U4350', 'U6524', 'U6156']",0.83
U0045,Alan Bennett,65,"Berlin, Germany","['Music', 'Sports']","['E0012', 'E0012', 'E0015', 'E0015', 'E0015', 'E0045', 'E0045', 'E0084', 'E0084', 'E0084', 'E0142', 'E0142', 'E0156', 'E0156', 'E0156', 'E0156', 'E0156', 'E0158', 'E0184', 'E0194', 'E0194', 'E0211', 'E0221', 'E0221', 'E0240', 'E0240', 'E0240', 'E0240', 'E0263', 'E0263', 'E0293', 'E0307', 'E0316', 'E0316', 'E0470', 'E0472']","['U5088', 'U5647', 'U5393', 'U1709', 'U2220', 'U3172', 'U6138', 'U5121', 'U3615', 'U6905']",0.66
U0046,Michael Murphy,51,"London, United Kingdom",['Sports'],"['E0039', 'E0039', 'E0074', 'E0074', 'E0178', 'E0212', 'E0212', 'E0286', 'E0286', 'E0300', 'E0300', 'E0300', 'E0300', 'E0323', 'E0323', 'E0323', 'E0323', 'E0323', 'E0356', 'E0356', 'E0370', 'E0370', 'E0370', 'E0405']","['U5905', 'U1111', 'U5746', 'U5743', 'U4895', 'U1961', 'U6398', 'U4022', 'U6245', 'U5296', 'U6515', 'U5734', 'U0351', 'U1282', 'U0563']",0.19
U0047,Angela Humphrey,55,"Sydney, Australia",['Music'],"['E0013', 'E0052', 'E0096', 'E0096', 'E0116', 'E0116', 'E0116', 'E0116', 'E0149', 'E0149', 'E0183', 'E0213', 'E0213', 'E0213', 'E0214', 'E0214', 'E0223', 'E0223', 'E0223', 'E0223', 'E0223', 'E0223', 'E0237', 'E0256', 'E0281', 'E0330', 'E0371', 'E0371', 'E0418', 'E0418', 'E0440', 'E0450', 'E0450', 'E0450', 'E0460', 'E0480']","['U0419', 'U5341', 'U3935', 'U4472', 'U0148', 'U2202', 'U0156', 'U2789', 'U3751', 'U3024', 'U1072', 'U4746', 'U2153', 'U2965', 'U5787']",1.0
